split,rule,level_name,target_mult,stop_mult,n,hit,stop,timeout,expectancy_atr
oos,S3,prior_low,0.75,0.75,25,0.48,0.52,0.0,-0.03
oos,S3,vah,0.75,0.75,20,0.45,0.55,0.0,-0.075
oos,S3,val,0.75,0.75,23,0.4782608695652174,0.5217391304347826,0.0,-0.03260869565217391
oos,S4,poc,0.75,0.75,30,0.26666666666666666,0.7333333333333333,0.0,-0.35
oos,S4,prior_close,0.75,0.75,31,0.2903225806451613,0.7096774193548387,0.0,-0.31451612903225806
oos,S4,prior_high,0.75,0.75,22,0.3181818181818182,0.6818181818181818,0.0,-0.2727272727272727
oos,S4,prior_low,0.75,0.75,33,0.5454545454545454,0.45454545454545453,0.0,0.06818181818181818
oos,S4,vah,0.75,0.75,18,0.3888888888888889,0.6111111111111112,0.0,-0.16666666666666666
oos,S4,val,0.75,0.75,29,0.4482758620689655,0.5517241379310345,0.0,-0.07758620689655173
oos,S1,poc,0.75,1.0,4,0.25,0.75,0.0,-0.5625
oos,S1,prior_close,0.75,1.0,6,0.8333333333333334,0.16666666666666666,0.0,0.4583333333333333
oos,S1,prior_high,0.75,1.0,6,0.3333333333333333,0.6666666666666666,0.0,-0.4166666666666667
oos,S1,prior_low,0.75,1.0,6,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666
oos,S1,vah,0.75,1.0,2,0.5,0.5,0.0,-0.125
oos,S1,val,0.75,1.0,5,0.2,0.8,0.0,-0.65
oos,S2,poc,0.75,1.0,7,0.5714285714285714,0.42857142857142855,0.0,0.0
oos,S2,prior_close,0.75,1.0,11,0.8181818181818182,0.18181818181818182,0.0,0.4318181818181818
oos,S2,prior_high,0.75,1.0,9,0.4444444444444444,0.5555555555555556,0.0,-0.2222222222222222
oos,S2,prior_low,0.75,1.0,5,0.6,0.4,0.0,0.05
oos,S2,vah,0.75,1.0,4,0.75,0.25,0.0,0.3125
oos,S2,val,0.75,1.0,4,0.5,0.5,0.0,-0.125
oos,S3,poc,0.75,1.0,23,0.8260869565217391,0.17391304347826086,0.0,0.44565217391304346
oos,S3,prior_close,0.75,1.0,32,0.53125,0.46875,0.0,-0.0703125
oos,S3,prior_high,0.75,1.0,26,0.5769230769230769,0.4230769230769231,0.0,0.009615384615384616
oos,S3,prior_low,0.75,1.0,25,0.52,0.48,0.0,-0.09
oos,S3,vah,0.75,1.0,20,0.6,0.4,0.0,0.05
