split,rule,level_name,target_mult,stop_mult,n_train,hit_train,stop,timeout,exp_train,n_oos,hit_oos,exp_oos,base_train,base_oos,edge_train,edge_oos
train,S2,vah,0.5,0.5,134,0.4552238805970149,0.5447761194029851,0.0,-0.04477611940298507,4,0.75,0.25,-0.04679298425297657,-0.05377906976744186,0.002016864849991501,0.30377906976744184
train,S2,val,0.5,0.5,113,0.48672566371681414,0.5132743362831859,0.0,-0.01327433628318584,4,0.5,0.0,-0.04679298425297657,-0.05377906976744186,0.03351864796979073,0.05377906976744186
train,S3,poc,0.5,0.5,415,0.4795180722891566,0.5204819277108433,0.0,-0.020481927710843374,23,0.5652173913043478,0.06521739130434782,-0.04679298425297657,-0.05377906976744186,0.0263110565421332,0.11899646107178968
train,S3,prior_close,0.5,0.5,455,0.4835164835164835,0.5164835164835165,0.0,-0.016483516483516484,32,0.46875,-0.03125,-0.04679298425297657,-0.05377906976744186,0.03030946776946009,0.02252906976744186
train,S3,prior_high,0.5,0.5,331,0.4652567975830816,0.5347432024169184,0.0,-0.03474320241691843,26,0.5769230769230769,0.07692307692307693,-0.04679298425297657,-0.05377906976744186,0.012049781836058142,0.13070214669051877
train,S3,prior_low,0.5,0.5,211,0.4597156398104265,0.5402843601895735,0.0,-0.04028436018957346,25,0.56,0.06,-0.04679298425297657,-0.05377906976744186,0.006508624063403114,0.11377906976744186
train,S3,vah,0.5,0.5,422,0.41706161137440756,0.5829383886255924,0.0,-0.08293838862559241,20,0.5,0.0,-0.04679298425297657,-0.05377906976744186,-0.03614540437261584,0.05377906976744186
train,S3,val,0.5,0.5,343,0.47230320699708456,0.5276967930029155,0.0,-0.027696793002915453,23,0.5217391304347826,0.021739130434782608,-0.04679298425297657,-0.05377906976744186,0.01909619125006112,0.07551820020222447
train,S4,poc,0.5,0.5,404,0.4034653465346535,0.5965346534653465,0.0,-0.09653465346534654,30,0.3,-0.2,-0.04679298425297657,-0.05377906976744186,-0.049741669212369964,-0.14622093023255817
train,S4,prior_close,0.5,0.5,458,0.4497816593886463,0.5502183406113537,0.0,-0.05021834061135371,31,0.3225806451612903,-0.1774193548387097,-0.04679298425297657,-0.05377906976744186,-0.003425356358377138,-0.12364028507126783
train,S4,prior_high,0.5,0.5,345,0.4028985507246377,0.5971014492753624,0.0,-0.09710144927536232,22,0.2727272727272727,-0.22727272727272727,-0.04679298425297657,-0.05377906976744186,-0.05030846502238575,-0.1734936575052854
train,S4,prior_low,0.5,0.5,291,0.4261168384879725,0.5738831615120275,0.0,-0.07388316151202749,33,0.42424242424242425,-0.07575757575757576,-0.04679298425297657,-0.05377906976744186,-0.02709017725905092,-0.0219785059901339
train,S4,vah,0.5,0.5,394,0.434010152284264,0.565989847715736,0.0,-0.06598984771573604,18,0.2222222222222222,-0.2777777777777778,-0.04679298425297657,-0.05377906976744186,-0.01919686346275947,-0.22399870801033595
train,S4,val,0.5,0.5,353,0.43059490084985835,0.5694050991501416,0.0,-0.06940509915014165,29,0.27586206896551724,-0.22413793103448276,-0.04679298425297657,-0.05377906976744186,-0.022612114897165074,-0.17035886126704092
train,S1,poc,0.5,0.75,159,0.6226415094339622,0.37735849056603776,0.0,0.02830188679245283,4,0.25,-0.4375,-0.03914351555498656,-0.043968023255813955,0.0674454023474394,-0.39353197674418605
train,S1,prior_close,0.5,0.75,185,0.572972972972973,0.42702702702702705,0.0,-0.033783783783783786,6,0.8333333333333334,0.2916666666666667,-0.03914351555498656,-0.043968023255813955,0.005359731771202775,0.33563468992248063
train,S1,prior_high,0.5,0.75,116,0.5689655172413793,0.43103448275862066,0.0,-0.03879310344827586,6,0.6666666666666666,0.08333333333333333,-0.03914351555498656,-0.043968023255813955,0.00035041210671069717,0.1273013565891473
train,S1,prior_low,0.5,0.75,95,0.47368421052631576,0.5263157894736842,0.0,-0.15789473684210525,6,0.8333333333333334,0.2916666666666667,-0.03914351555498656,-0.043968023255813955,-0.1187512212871187,0.33563468992248063
train,S1,vah,0.5,0.75,183,0.5573770491803278,0.4426229508196721,0.0,-0.05327868852459016,2,0.5,-0.125,-0.03914351555498656,-0.043968023255813955,-0.0141351729696036,-0.08103197674418605
train,S1,val,0.5,0.75,138,0.5362318840579711,0.463768115942029,0.0,-0.07971014492753623,5,0.2,-0.5,-0.03914351555498656,-0.043968023255813955,-0.040566629372549665,-0.45603197674418605
train,S2,poc,0.5,0.75,129,0.5968992248062015,0.3953488372093023,0.007751937984496124,0.001937984496124031,7,0.5714285714285714,-0.03571428571428571,-0.03914351555498656,-0.043968023255813955,0.041081500051110595,0.008253737541528243
train,S2,prior_close,0.5,0.75,145,0.6,0.3931034482758621,0.006896551724137931,0.005172413793103448,11,0.6363636363636364,0.045454545454545456,-0.03914351555498656,-0.043968023255813955,0.044315929348090005,0.08942256871035942
