minute,mean_vol,median_vol,mean_bp,mean_delta,n,time
849,107835.15054121948,83161.0,0.5083787565163334,-782.4592265790781,811,14:09
850,127063.50731512946,98415.0,0.503945496885173,2211.213645553216,811,14:10
851,111952.93055184957,87128.0,0.5085863117037913,857.5880551000809,811,14:11
852,112889.92729522934,86503.0,0.5065870484321652,1701.7984247764248,811,14:12
853,112308.23425133168,82965.0,0.5134837016417145,4223.398091465833,811,14:13
854,107958.06083169668,79378.0,0.44678252592630163,-14162.82096934908,811,14:14
855,139881.161605873,103307.0,0.5430752120230193,9559.953363267461,811,14:15
856,120940.28562724536,94260.0,0.4947464510522288,-243.77813979249618,811,14:16
857,112492.63121724907,87035.0,0.49679321441116153,-693.4800172879476,811,14:17
858,114347.834052545,85987.817024,0.5030189767812708,1564.4002122334339,811,14:18
859,112624.83653930457,83343.0,0.5331083488278762,5438.7095029319025,811,14:19
860,116525.39584940813,91577.0,0.51688055091335,4178.033721555244,811,14:20
861,113388.99494981134,90223.0,0.5128274711747995,2098.812844172925,811,14:21
862,117930.49034935758,91009.0,0.510578921695203,824.4763459707814,811,14:22
863,110665.34112455734,79341.0,0.5347441010483682,7655.979483996331,811,14:23
864,113688.5140777016,89157.0,0.4992910752533883,1947.2212455172296,811,14:24
865,118548.96027020222,88465.0,0.48906036247979656,-3673.1802267308194,811,14:25
866,115628.52336794944,88002.0,0.5291366199233936,8047.226966129028,811,14:26
867,117246.78596176201,84875.0,0.4862915925932035,-588.6272465441749,811,14:27
868,117067.56317389026,90081.0,0.5209477971285615,6202.325427679314,811,14:28
869,111588.83888932428,81084.0,0.48153258001342464,-6600.456661310862,811,14:29
870,147097.8448127386,108156.0,0.544552534785432,8571.764217032729,811,14:30
871,130734.40159583106,93986.0,0.5240485762028686,4618.088821906654,811,14:31
872,141595.07732701604,101893.0,0.5159880613622442,7333.607613604554,811,14:32
873,123098.39334882738,89572.0,0.5071760354948108,-689.7500811580533,811,14:33
874,120252.04416518373,85940.0,0.5001276319731287,1630.6609604699577,811,14:34
875,134090.53640617387,95038.0,0.5145490480581242,5330.365285889968,811,14:35
876,132637.2609522318,99779.0,0.5187037164461884,6434.634791748075,811,14:36
877,127295.59772245376,92132.0,0.5244714820509727,5604.6287942791605,811,14:37
878,121657.82376104685,87568.0,0.5150249227472755,-567.8077638564741,811,14:38
879,116054.07263033539,81510.0,0.4939282725905771,-3767.0830402694205,811,14:39
